System               | Instance             | Version    | Date       | Server    
obe_client           | OBE                  | 8.0.3.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
qv_fe                | QueryViewer          | 1.11.1.0   | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
rdfe                 | RDFE                 | 8.0.0.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
config_service       | ConfigurationService | 7.0.1.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
config_wcf           | ConfigurationWebService | 7.0.1.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
dms_wcf              | DataManagerService   | 1.9.3.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
mdr_wcf              | GEMINIMdrQueryService | 1.12.2.0   | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
mdr_wcf              | MdrQueryService      | 1.12.2.0   | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
mwsb                 | mwsb_01              | 1.0.4.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
obe_gts              | GtsService           | 7.0.1.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
obe_ofids            | OFIDS                | 7.0.1.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
obe_wcf              | WCFService           | 8.0.2.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
obe_mpt_wcf          | WCFService_MPT       | 8.0.2.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
rdns                 | RDNS_01p             | 7.0.0.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
rdns                 | RDNS_01s             | 7.0.0.0    | 2014-01-29 | PD-OBE01   | ISEapps    | DR        
rtp_olr              | OpraLineReader_01    | 2.8.3.0    | 2014-01-29 | PD-OLR02B  | ISEapps    | DR        
rtp_olr              | OpraLineReader_02    | 2.8.3.0    | 2014-01-29 | PD-OLR02B  | ISEapps    | DR        
rtp_olr              | OpraLineReader_03    | 2.8.3.0    | 2014-01-29 | PD-OLR02B  | ISEapps    | DR        
rtp_olr              | OpraLineReader_04    | 2.8.3.0    | 2014-01-29 | PD-OLR02B  | ISEapps    | DR        
rtp_olr              | OpraLineReader_05    | 2.8.3.0    | 2014-01-29 | PD-OLR02B  | ISEapps    | DR        
rtp_olr              | OpraLineReader_01    | 2.8.3.0    | 2014-01-29 | PD-OLR02E  | ISEapps    | DR        
rtp_olr              | OpraLineReader_02    | 2.8.3.0    | 2014-01-29 | PD-OLR02E  | ISEapps    | DR        
rtp_olr              | OpraLineReader_03    | 2.8.3.0    | 2014-01-29 | PD-OLR02E  | ISEapps    | DR        
rtp_olr              | OpraLineReader_04    | 2.8.3.0    | 2014-01-29 | PD-OLR02E  | ISEapps    | DR        
rtp_olr              | OpraLineReader_05    | 2.8.3.0    | 2014-01-29 | PD-OLR02E  | ISEapps    | DR        
rdqs                 | RDQS                 | 1.11.0.0   | 2014-01-28 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_01     | 2.8.3.1    | 2014-01-30 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_02     | 2.8.3.1    | 2014-01-30 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_03     | 2.8.3.0    | 2014-01-28 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_04     | 2.8.3.0    | 2014-01-28 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_05     | 2.8.3.1    | 2014-01-30 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_51     | 2.8.53.1   | 2014-01-30 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_52     | 2.8.53.1   | 2014-01-30 | PD-PIM01B  | ISEapps    | DR        
rtp_pim              | PluginManager_01     | 2.8.3.0    | 2014-01-29 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_02     | 2.8.3.0    | 2014-01-29 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_03     | 2.8.3.0    | 2014-01-29 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_04     | 2.8.3.0    | 2014-01-29 | PD-PIM01C  | ISEapps    | DR        
rtp_pim              | PluginManager_05     | 2.8.3.0    | 2014-01-29 | PD-PIM01C  | ISEapps    | DR        
