System               | Instance             | Version    | Date       | Server    
dashboard_ebs        | ExegyBridgeService   | 8.0.0.0    | 2014-01-29 | PD-MPM01   | ISEapps    | BAT       
dashboard_ops        | OperationsService    | 3.4.1.0    | 2014-01-29 | PD-MPM01   | ISEapps    | BAT       
dashboard_wcf        | OpsWCFService        | 5.2.0.0    | 2014-01-29 | PD-MPM01   | ISEapps    | BAT       
dashboard_sys        | SysConBridgeService  | 8.0.0.0    | 2014-01-29 | PD-MPM01   | ISEapps    | BAT       
mpt_client           | MPTClient            | 8.0.3.0    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
qv_fe                | QueryViewer          | 1.11.1.0   | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
rdfe                 | RDFE                 | 8.0.0.0    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
mdm_wcf              | MarketDataManager_BIN_Telex | 3.0.0.5    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
mpt_ams              | MPTAlertManagerService_01 | 8.0.0.0    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
mpt_ams              | MPTAlertManagerService_02 | 8.0.0.0    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
mpt_as               | MPTAlertService_01   | 8.0.1.0    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
mpt_as               | MPTAlertService_02   | 8.0.1.0    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
order_deviation      | OrderDeviationAlert_01 | 1.0.3.0    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
order_deviation      | OrderDeviationAlert_02 | 1.0.3.0    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
order_deviation      | OrderDeviationAlert_51 | 1.0.3.0    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
order_deviation      | OrderDeviationAlert_52 | 1.0.3.0    | 2014-01-29 | PD-MPT01   | ISEapps    | BAT       
alert_viewer         | AlertViewer          | 1.6.0.3    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
billing_fe           | BillingServiceTool   | 3.0.0.6    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
marketwatch          | marketwatch          | 8.0.3.0    | 2014-01-31 | PD-OBE01   | ISEapps    | BAT       
mpt_client           | MPTClient            | 8.0.3.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
obe_client           | OBE                  | 8.0.3.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
qv_fe                | QueryViewer          | 1.11.1.0   | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
rdfe                 | RDFE                 | 8.0.0.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
config_client        | ConfigurationClient  | 7.0.3.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
config_service       | ConfigurationService | 7.0.1.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
config_wcf           | ConfigurationWebService | 7.0.1.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
dms_wcf              | DataManagerService   | 1.9.3.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
mdr_wcf              | GEMINIMdrQueryService | 1.12.2.0   | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
mdr_wcf              | MdrQueryService      | 1.12.2.0   | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
mwsb                 | mwsb_01              | 1.0.4.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
obe_gts              | GtsService           | 7.0.1.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
obe_ofids            | OFIDS                | 7.0.1.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
obe_wcf              | WCFService           | 8.0.2.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
obe_mpt_wcf          | WCFService_MPT       | 8.0.2.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
rdns                 | RDNS_01p             | 7.0.0.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
rdns                 | RDNS_01s             | 7.0.0.0    | 2014-01-29 | PD-OBE01   | ISEapps    | BAT       
rtp_olr              | OpraLineReader_01    | 2.8.3.0    | 2014-01-29 | PD-OLR02B  | ISEapps    | BAT       
rtp_olr              | OpraLineReader_02    | 2.8.3.0    | 2014-01-29 | PD-OLR02B  | ISEapps    | BAT       
