System               | Instance             | Version    | Date       | Server    
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw153  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw154  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw155  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw156  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw16   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw17   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw18   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw19   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw20   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw200  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw201  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw202  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw203  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw21   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw22   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw23   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw24   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw25   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw251  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw252  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw253  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw254  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw255  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw256  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw257  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw258  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw259  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw26   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw260  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw27   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw28   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw29   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw30   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw31   | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw351  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw352  | core       | PROD      
core                 | Gateway              | 008.000.070 | 2014-01-23 | pc-mgw353  | core       | PROD      
