System               | Instance             | Version    | Date       | Server    
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw01   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw02   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw03   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw04   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw09   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw10   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw11   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw12   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw13   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw14   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw15   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw151  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw152  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw153  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw154  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw155  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw156  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw16   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw17   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw18   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw19   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw20   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw200  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw201  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw202  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw203  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw21   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw22   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw23   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw24   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw25   | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw251  | core      
core                 | Gateway              | 008.000.060 | 2014-01-03 | pc-mgw252  | core      
